weapon_type,concept,level,name,description
칼,피,2,+2강 피 뒤얽힌 칼,"피의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,3,+3강 피 잠식된 칼,"피의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,4,+4강 피 삼켜진 칼,"피의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,5,+5강 피 숨 쉬는 칼,"피의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,6,+6강 피 속삭이는 칼,"피의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,7,+7강 피 의지를 가진 칼,"피의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,8,+8강 피 시험하는 칼,"피의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,9,+9강 피 명령하는 칼,"피의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,10,+10강 피 주인이 된 칼,"피의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,11,+11강 피 굴복시킨 칼,"피의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,12,+12강 피 피를 요구하는 칼,"피의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,13,+13강 피 전장을 뒤덮는 칼,"피의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,14,+14강 피 영혼을 침식하는 칼,"피의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,15,+15강 피 재앙이 된 칼,"피의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,16,+16강 피 세계에 뿌리내린 칼,"피의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,17,+17강 피 질서를 뒤흔드는 칼,"피의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,18,+18강 피 세계를 삼키는 칼,"피의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,19,+19강 피 모든 것을 집어삼킨 칼,"피의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,피,20,+20강 피 그 자체가 된 칼,"피의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,0,+0강 저주 흔적만 남은 칼,"저주의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,1,+1강 저주 깃든 칼,"저주의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,2,+2강 저주 뒤얽힌 칼,"저주의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,3,+3강 저주 잠식된 칼,"저주의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,4,+4강 저주 삼켜진 칼,"저주의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,5,+5강 저주 숨 쉬는 칼,"저주의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,6,+6강 저주 속삭이는 칼,"저주의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,7,+7강 저주 의지를 가진 칼,"저주의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,8,+8강 저주 시험하는 칼,"저주의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,9,+9강 저주 명령하는 칼,"저주의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,10,+10강 저주 주인이 된 칼,"저주의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,11,+11강 저주 굴복시킨 칼,"저주의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,12,+12강 저주 피를 요구하는 칼,"저주의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,13,+13강 저주 전장을 뒤덮는 칼,"저주의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,14,+14강 저주 영혼을 침식하는 칼,"저주의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,15,+15강 저주 재앙이 된 칼,"저주의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,16,+16강 저주 세계에 뿌리내린 칼,"저주의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,17,+17강 저주 질서를 뒤흔드는 칼,"저주의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,18,+18강 저주 세계를 삼키는 칼,"저주의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,19,+19강 저주 모든 것을 집어삼킨 칼,"저주의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,저주,20,+20강 저주 그 자체가 된 칼,"저주의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,0,+0강 시간 흔적만 남은 칼,"시간의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,1,+1강 시간 깃든 칼,"시간의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,2,+2강 시간 뒤얽힌 칼,"시간의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,3,+3강 시간 잠식된 칼,"시간의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,4,+4강 시간 삼켜진 칼,"시간의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,5,+5강 시간 숨 쉬는 칼,"시간의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,6,+6강 시간 속삭이는 칼,"시간의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,7,+7강 시간 의지를 가진 칼,"시간의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,8,+8강 시간 시험하는 칼,"시간의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,9,+9강 시간 명령하는 칼,"시간의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,10,+10강 시간 주인이 된 칼,"시간의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,11,+11강 시간 굴복시킨 칼,"시간의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,12,+12강 시간 피를 요구하는 칼,"시간의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,13,+13강 시간 전장을 뒤덮는 칼,"시간의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,14,+14강 시간 영혼을 침식하는 칼,"시간의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,15,+15강 시간 재앙이 된 칼,"시간의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,16,+16강 시간 세계에 뿌리내린 칼,"시간의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,17,+17강 시간 질서를 뒤흔드는 칼,"시간의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,18,+18강 시간 세계를 삼키는 칼,"시간의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,19,+19강 시간 모든 것을 집어삼킨 칼,"시간의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,시간,20,+20강 시간 그 자체가 된 칼,"시간의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,0,+0강 왕권 흔적만 남은 칼,"왕권의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,1,+1강 왕권 깃든 칼,"왕권의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,2,+2강 왕권 뒤얽힌 칼,"왕권의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,3,+3강 왕권 잠식된 칼,"왕권의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,4,+4강 왕권 삼켜진 칼,"왕권의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,5,+5강 왕권 숨 쉬는 칼,"왕권의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,6,+6강 왕권 속삭이는 칼,"왕권의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,7,+7강 왕권 의지를 가진 칼,"왕권의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,8,+8강 왕권 시험하는 칼,"왕권의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,9,+9강 왕권 명령하는 칼,"왕권의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,10,+10강 왕권 주인이 된 칼,"왕권의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,11,+11강 왕권 굴복시킨 칼,"왕권의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,12,+12강 왕권 피를 요구하는 칼,"왕권의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,13,+13강 왕권 전장을 뒤덮는 칼,"왕권의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,14,+14강 왕권 영혼을 침식하는 칼,"왕권의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,15,+15강 왕권 재앙이 된 칼,"왕권의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,16,+16강 왕권 세계에 뿌리내린 칼,"왕권의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,17,+17강 왕권 질서를 뒤흔드는 칼,"왕권의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,18,+18강 왕권 세계를 삼키는 칼,"왕권의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,19,+19강 왕권 모든 것을 집어삼킨 칼,"왕권의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,왕권,20,+20강 왕권 그 자체가 된 칼,"왕권의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,0,+0강 광기 흔적만 남은 칼,"광기의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,1,+1강 광기 깃든 칼,"광기의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,2,+2강 광기 뒤얽힌 칼,"광기의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,3,+3강 광기 잠식된 칼,"광기의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,4,+4강 광기 삼켜진 칼,"광기의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,5,+5강 광기 숨 쉬는 칼,"광기의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,6,+6강 광기 속삭이는 칼,"광기의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,7,+7강 광기 의지를 가진 칼,"광기의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,8,+8강 광기 시험하는 칼,"광기의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,9,+9강 광기 명령하는 칼,"광기의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,10,+10강 광기 주인이 된 칼,"광기의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,11,+11강 광기 굴복시킨 칼,"광기의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,12,+12강 광기 피를 요구하는 칼,"광기의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,13,+13강 광기 전장을 뒤덮는 칼,"광기의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,14,+14강 광기 영혼을 침식하는 칼,"광기의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,15,+15강 광기 재앙이 된 칼,"광기의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,16,+16강 광기 세계에 뿌리내린 칼,"광기의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,17,+17강 광기 질서를 뒤흔드는 칼,"광기의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,18,+18강 광기 세계를 삼키는 칼,"광기의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,19,+19강 광기 모든 것을 집어삼킨 칼,"광기의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,광기,20,+20강 광기 그 자체가 된 칼,"광기의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,0,+0강 성전 흔적만 남은 칼,"성전의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,1,+1강 성전 깃든 칼,"성전의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,2,+2강 성전 뒤얽힌 칼,"성전의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,3,+3강 성전 잠식된 칼,"성전의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,4,+4강 성전 삼켜진 칼,"성전의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,5,+5강 성전 숨 쉬는 칼,"성전의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,6,+6강 성전 속삭이는 칼,"성전의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,7,+7강 성전 의지를 가진 칼,"성전의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,8,+8강 성전 시험하는 칼,"성전의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,9,+9강 성전 명령하는 칼,"성전의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,10,+10강 성전 주인이 된 칼,"성전의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,11,+11강 성전 굴복시킨 칼,"성전의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,12,+12강 성전 피를 요구하는 칼,"성전의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,13,+13강 성전 전장을 뒤덮는 칼,"성전의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,14,+14강 성전 영혼을 침식하는 칼,"성전의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,15,+15강 성전 재앙이 된 칼,"성전의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,16,+16강 성전 세계에 뿌리내린 칼,"성전의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,17,+17강 성전 질서를 뒤흔드는 칼,"성전의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,18,+18강 성전 세계를 삼키는 칼,"성전의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,19,+19강 성전 모든 것을 집어삼킨 칼,"성전의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,성전,20,+20강 성전 그 자체가 된 칼,"성전의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,0,+0강 배신 흔적만 남은 칼,"배신의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,1,+1강 배신 깃든 칼,"배신의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,2,+2강 배신 뒤얽힌 칼,"배신의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,3,+3강 배신 잠식된 칼,"배신의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,4,+4강 배신 삼켜진 칼,"배신의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,5,+5강 배신 숨 쉬는 칼,"배신의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,6,+6강 배신 속삭이는 칼,"배신의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,7,+7강 배신 의지를 가진 칼,"배신의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,8,+8강 배신 시험하는 칼,"배신의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,9,+9강 배신 명령하는 칼,"배신의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,10,+10강 배신 주인이 된 칼,"배신의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,11,+11강 배신 굴복시킨 칼,"배신의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,12,+12강 배신 피를 요구하는 칼,"배신의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,13,+13강 배신 전장을 뒤덮는 칼,"배신의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,14,+14강 배신 영혼을 침식하는 칼,"배신의 힘이 칼에 영혼을 침식하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,15,+15강 배신 재앙이 된 칼,"배신의 힘이 칼에 재앙이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,16,+16강 배신 세계에 뿌리내린 칼,"배신의 힘이 칼에 세계에 뿌리내린 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,17,+17강 배신 질서를 뒤흔드는 칼,"배신의 힘이 칼에 질서를 뒤흔드는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,18,+18강 배신 세계를 삼키는 칼,"배신의 힘이 칼에 세계를 삼키는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,19,+19강 배신 모든 것을 집어삼킨 칼,"배신의 힘이 칼에 모든 것을 집어삼킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,배신,20,+20강 배신 그 자체가 된 칼,"배신의 힘이 칼에 그 자체가  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,0,+0강 절단 흔적만 남은 칼,"절단의 힘이 칼에 흔적만 남은 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,1,+1강 절단 깃든 칼,"절단의 힘이 칼에 깃든 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,2,+2강 절단 뒤얽힌 칼,"절단의 힘이 칼에 뒤얽힌 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,3,+3강 절단 잠식된 칼,"절단의 힘이 칼에 잠식 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,4,+4강 절단 삼켜진 칼,"절단의 힘이 칼에 삼켜진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,5,+5강 절단 숨 쉬는 칼,"절단의 힘이 칼에 숨 쉬는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,6,+6강 절단 속삭이는 칼,"절단의 힘이 칼에 속삭이는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,7,+7강 절단 의지를 가진 칼,"절단의 힘이 칼에 의지를 가진 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,8,+8강 절단 시험하는 칼,"절단의 힘이 칼에 시험하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,9,+9강 절단 명령하는 칼,"절단의 힘이 칼에 명령하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,10,+10강 절단 주인이 된 칼,"절단의 힘이 칼에 주인이  단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,11,+11강 절단 굴복시킨 칼,"절단의 힘이 칼에 굴복시킨 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,12,+12강 절단 피를 요구하는 칼,"절단의 힘이 칼에 피를 요구하는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
칼,절단,13,+13강 절단 전장을 뒤덮는 칼,"절단의 힘이 칼에 전장을 뒤덮는 단계로 스며들어, 이제는 사용자의 의지마저 시험한다."
